GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RoboWalker,com.robowalker,Robot,0,361,7,45,0,87,7,35,0,10
RoboWalker,com.robowalker,Main,83,0,12,0,28,0,12,0,2,0
